id,method,path,module,status_code,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,response_bytes,status
291,GET,/api/v1/portal/success-stories,portal,400,2.51,2.73,2.73,2.73,2.43,2.06,2.73,19,PASS
292,GET,/api/v1/portal/success-stories/{story_id},portal,400,1.98,2.1,2.1,2.1,2.01,1.94,2.1,19,PASS
293,GET,/api/v1/portal/blog,portal,400,2.28,2.31,2.31,2.31,2.27,2.22,2.31,19,PASS
294,GET,/api/v1/portal/blog/slug/{slug},portal,400,2.23,2.23,2.23,2.23,2.19,2.12,2.23,19,PASS
295,GET,/api/v1/portal/veterinary-network,portal,400,2.32,2.59,2.59,2.59,2.33,2.09,2.59,19,PASS
296,GET,/api/v1/portal/contact,portal,400,2.0,2.11,2.11,2.11,2.01,1.93,2.11,19,PASS
297,POST,/api/v1/portal/contact,portal,400,2.17,2.26,2.26,2.26,2.18,2.13,2.26,19,PASS
298,POST,/api/v1/portal/newsletter/subscribe,portal,400,2.32,3.04,3.04,3.04,2.47,2.06,3.04,19,PASS
299,GET,/api/v1/portal/faq,portal,400,2.0,2.11,2.11,2.11,2.03,1.97,2.11,19,PASS
300,GET,/api/v1/portal/legal,portal,400,2.21,2.47,2.47,2.47,2.28,2.18,2.47,19,PASS
301,GET,/api/v1/portal/legal/{slug},portal,400,2.04,2.08,2.08,2.08,2.05,2.03,2.08,19,PASS
302,GET,/api/v1/portal/urgent-alerts,portal,400,1.89,1.96,1.96,1.96,1.89,1.81,1.96,19,PASS
303,GET,/api/v1/portal/transparency,portal,400,1.78,2.94,2.94,2.94,2.15,1.72,2.94,19,PASS
304,GET,/api/v1/portal/me/dashboard,portal,400,3.91,4.29,4.29,4.29,3.93,3.61,4.29,19,PASS
305,GET,/api/v1/portal/admin/success-stories,portal,400,2.23,2.49,2.49,2.49,2.3,2.18,2.49,19,PASS
306,POST,/api/v1/portal/admin/success-stories,portal,400,3.5,3.56,3.56,3.56,3.33,2.94,3.56,19,PASS
307,PUT,/api/v1/portal/admin/success-stories/{story_id},portal,400,3.09,3.19,3.19,3.19,2.99,2.68,3.19,19,PASS
308,DELETE,/api/v1/portal/admin/success-stories/{story_id},portal,400,2.54,2.67,2.67,2.67,2.58,2.54,2.67,19,PASS
309,GET,/api/v1/portal/admin/blog,portal,400,3.26,3.28,3.28,3.28,3.24,3.19,3.28,19,PASS
310,POST,/api/v1/portal/admin/blog,portal,400,2.34,2.51,2.51,2.51,2.37,2.26,2.51,19,PASS
311,PUT,/api/v1/portal/admin/blog/{post_id},portal,400,2.45,2.8,2.8,2.8,2.55,2.4,2.8,19,PASS
312,DELETE,/api/v1/portal/admin/blog/{post_id},portal,400,2.65,2.86,2.86,2.86,2.58,2.22,2.86,19,PASS
313,POST,/api/v1/portal/admin/veterinary-network,portal,400,2.19,2.37,2.37,2.37,2.22,2.1,2.37,19,PASS
314,PUT,/api/v1/portal/admin/veterinary-network/{partner_id},portal,400,2.42,3.04,3.04,3.04,2.55,2.19,3.04,19,PASS
315,POST,/api/v1/portal/admin/contact,portal,400,2.78,3.07,3.07,3.07,2.86,2.73,3.07,19,PASS
316,PUT,/api/v1/portal/admin/contact/{location_id},portal,400,2.38,2.47,2.47,2.47,2.37,2.25,2.47,19,PASS
317,GET,/api/v1/portal/admin/faq,portal,400,2.43,2.53,2.53,2.53,2.42,2.31,2.53,19,PASS
318,POST,/api/v1/portal/admin/faq,portal,400,2.93,3.23,3.23,3.23,2.97,2.76,3.23,19,PASS
319,PUT,/api/v1/portal/admin/faq/{entry_id},portal,400,2.39,2.55,2.55,2.55,2.44,2.39,2.55,19,PASS
320,DELETE,/api/v1/portal/admin/faq/{entry_id},portal,400,2.22,2.23,2.23,2.23,2.19,2.1,2.23,19,PASS
321,PUT,/api/v1/portal/admin/settings/{key},portal,400,2.24,2.25,2.25,2.25,2.21,2.15,2.25,19,PASS
322,GET,/api/v1/portal/admin/settings,portal,400,2.2,3.1,3.1,3.1,2.45,2.06,3.1,19,PASS
323,POST,/api/v1/portal/admin/success-stories/bulk/delete,portal,400,2.46,2.71,2.71,2.71,2.5,2.34,2.71,19,PASS
324,POST,/api/v1/portal/admin/success-stories/bulk/status,portal,400,2.38,2.49,2.49,2.49,2.38,2.28,2.49,19,PASS
325,POST,/api/v1/portal/admin/blog/bulk/delete,portal,400,3.31,3.36,3.36,3.36,3.11,2.66,3.36,19,PASS
326,POST,/api/v1/portal/admin/blog/bulk/status,portal,400,2.67,3.01,3.01,3.01,2.73,2.51,3.01,19,PASS
327,POST,/api/v1/portal/admin/faq/bulk/delete,portal,400,2.28,2.39,2.39,2.39,2.31,2.26,2.39,19,PASS
328,POST,/api/v1/portal/admin/faq/bulk/status,portal,400,2.2,2.2,2.2,2.2,2.18,2.15,2.2,19,PASS
329,GET,/api/v1/portal/admin/legal,portal,400,2.47,2.49,2.49,2.49,2.38,2.19,2.49,19,PASS
330,POST,/api/v1/portal/admin/legal,portal,400,2.46,2.56,2.56,2.56,2.47,2.38,2.56,19,PASS
331,PUT,/api/v1/portal/admin/legal/{doc_id},portal,400,2.2,2.22,2.22,2.22,2.18,2.14,2.22,19,PASS
332,DELETE,/api/v1/portal/admin/legal/{doc_id},portal,400,2.81,3.25,3.25,3.25,2.75,2.18,3.25,19,PASS
333,GET,/api/v1/portal/admin/urgent-alerts,portal,400,2.21,2.99,2.99,2.99,2.45,2.16,2.99,19,PASS
334,POST,/api/v1/portal/admin/urgent-alerts,portal,400,2.59,2.88,2.88,2.88,2.64,2.44,2.88,19,PASS
335,PUT,/api/v1/portal/admin/urgent-alerts/{alert_id},portal,400,2.73,2.92,2.92,2.92,2.61,2.18,2.92,19,PASS
336,DELETE,/api/v1/portal/admin/urgent-alerts/{alert_id},portal,400,2.13,2.15,2.15,2.15,2.08,1.96,2.15,19,PASS
337,GET,/api/v1/portal/cms/pages/{slug},portal,400,2.53,2.73,2.73,2.73,2.39,1.92,2.73,19,PASS
338,GET,/api/v1/portal/admin/cms/pages,portal,400,2.41,3.01,3.01,3.01,2.59,2.34,3.01,19,PASS
339,GET,/api/v1/portal/admin/cms/pages/{slug},portal,400,3.0,3.13,3.13,3.13,2.91,2.6,3.13,19,PASS
340,PUT,/api/v1/portal/admin/cms/pages/{slug},portal,400,2.49,2.66,2.66,2.66,2.49,2.31,2.66,19,PASS
341,POST,/api/v1/portal/admin/cms/pages/{slug}/publish,portal,400,2.33,2.62,2.62,2.62,2.34,2.08,2.62,19,PASS
342,POST,/api/v1/portal/admin/cms/pages/{slug}/discard,portal,400,2.4,2.64,2.64,2.64,2.35,2.01,2.64,19,PASS
343,GET,/api/v1/fleet/vehicles,fleet,400,1.97,1.98,1.98,1.98,1.92,1.82,1.98,19,PASS
344,POST,/api/v1/fleet/vehicles,fleet,400,2.23,2.42,2.42,2.42,2.25,2.1,2.42,19,PASS
345,GET,/api/v1/fleet/vehicles/{vehicle_id},fleet,400,2.94,3.27,3.27,3.27,3.05,2.92,3.27,19,PASS
346,PUT,/api/v1/fleet/vehicles/{vehicle_id},fleet,400,2.17,2.2,2.2,2.2,2.16,2.12,2.2,19,PASS
347,DELETE,/api/v1/fleet/vehicles/{vehicle_id},fleet,400,2.32,2.9,2.9,2.9,2.47,2.19,2.9,19,PASS
348,PATCH,/api/v1/fleet/vehicles/{vehicle_id}/status,fleet,400,3.54,4.49,4.49,4.49,3.57,2.67,4.49,19,PASS
349,POST,/api/v1/fleet/maintenance,fleet,400,2.2,2.69,2.69,2.69,2.35,2.17,2.69,19,PASS
350,GET,/api/v1/fleet/vehicles/{vehicle_id}/maintenance,fleet,400,2.72,3.13,3.13,3.13,2.72,2.32,3.13,19,PASS
351,POST,/api/v1/fleet/bulk/status-update,fleet,400,2.07,2.08,2.08,2.08,2.05,2.0,2.08,19,PASS
352,POST,/api/v1/fleet/bulk/delete,fleet,400,2.34,2.76,2.76,2.76,2.48,2.34,2.76,19,PASS
353,GET,/api/v1/fleet/equipment,fleet,400,1.99,2.04,2.04,2.04,1.99,1.95,2.04,19,PASS
354,POST,/api/v1/fleet/equipment,fleet,400,1.99,1.99,1.99,1.99,1.97,1.93,1.99,19,PASS
355,GET,/api/v1/fleet/equipment/{checkout_id},fleet,400,2.06,2.07,2.07,2.07,2.06,2.05,2.07,19,PASS
356,POST,/api/v1/fleet/equipment/{checkout_id}/return,fleet,400,2.3,2.49,2.49,2.49,2.34,2.22,2.49,19,PASS
357,GET,/api/v1/fleet/vehicles/{vehicle_id}/fuel,fleet,400,2.07,2.09,2.09,2.09,2.07,2.06,2.09,19,PASS
358,POST,/api/v1/fleet/vehicles/{vehicle_id}/fuel,fleet,400,2.22,2.25,2.25,2.25,2.2,2.12,2.25,19,PASS
359,GET,/api/v1/fleet/fuel/{log_id},fleet,400,2.0,2.17,2.17,2.17,2.05,1.97,2.17,19,PASS
360,GET,/api/v1/grievance,grievance,400,2.12,2.29,2.29,2.29,2.11,1.93,2.29,19,PASS
361,POST,/api/v1/grievance,grievance,400,2.0,2.13,2.13,2.13,2.03,1.97,2.13,19,PASS
362,GET,/api/v1/grievance/feedback,grievance,400,2.51,2.75,2.75,2.75,2.5,2.26,2.75,19,PASS
363,POST,/api/v1/grievance/feedback,grievance,400,2.14,2.69,2.69,2.69,2.32,2.12,2.69,19,PASS
364,GET,/api/v1/grievance/{ticket_id},grievance,400,2.2,2.23,2.23,2.23,2.16,2.04,2.23,19,PASS
365,PUT,/api/v1/grievance/{ticket_id},grievance,400,2.19,3.13,3.13,3.13,2.48,2.11,3.13,19,PASS
366,DELETE,/api/v1/grievance/{ticket_id},grievance,400,1.87,1.92,1.92,1.92,1.87,1.83,1.92,19,PASS
367,PATCH,/api/v1/grievance/{ticket_id}/status,grievance,400,1.87,2.12,2.12,2.12,1.91,1.75,2.12,19,PASS
368,POST,/api/v1/grievance/{ticket_id}/assign,grievance,400,1.96,2.0,2.0,2.0,1.96,1.91,2.0,19,PASS
369,POST,/api/v1/grievance/{ticket_id}/escalate,grievance,400,1.98,3.47,3.47,3.47,2.46,1.94,3.47,19,PASS
370,GET,/api/v1/grievance/{ticket_id}/comments,grievance,400,2.37,2.93,2.93,2.93,2.44,2.01,2.93,19,PASS
371,POST,/api/v1/grievance/{ticket_id}/comments,grievance,400,2.17,2.3,2.3,2.3,2.21,2.14,2.3,19,PASS
372,DELETE,/api/v1/grievance/feedback/{feedback_id},grievance,400,2.48,2.81,2.81,2.81,2.45,2.06,2.81,19,PASS
373,POST,/api/v1/grievance/bulk/delete,grievance,400,2.4,2.45,2.45,2.45,2.3,2.05,2.45,19,PASS
374,POST,/api/v1/grievance/bulk/status,grievance,400,2.22,2.23,2.23,2.23,2.16,2.04,2.23,19,PASS
375,POST,/api/v1/grievance/feedback/bulk/delete,grievance,400,1.98,1.99,1.99,1.99,1.97,1.95,1.99,19,PASS
376,GET,/api/v1/notifications,notifications,400,2.15,2.58,2.58,2.58,2.27,2.07,2.58,19,PASS
377,GET,/api/v1/notifications/unread-count,notifications,400,2.87,2.98,2.98,2.98,2.71,2.29,2.98,19,PASS
378,PUT,/api/v1/notifications/{notification_id}/read,notifications,400,2.07,2.16,2.16,2.16,2.09,2.04,2.16,19,PASS
379,PUT,/api/v1/notifications/read-all,notifications,400,2.09,2.83,2.83,2.83,2.33,2.08,2.83,19,PASS
380,DELETE,/api/v1/notifications/{notification_id},notifications,400,2.12,2.53,2.53,2.53,2.23,2.04,2.53,19,PASS
381,POST,/api/v1/notifications/bulk/delete,notifications,400,2.09,2.1,2.1,2.1,2.07,2.03,2.1,19,PASS
382,POST,/api/v1/notifications/send,notifications,400,2.19,2.69,2.69,2.69,2.31,2.05,2.69,19,PASS
383,GET,/api/v1/notifications/preferences,notifications,400,1.95,1.98,1.98,1.98,1.93,1.85,1.98,19,PASS
384,PUT,/api/v1/notifications/preferences,notifications,400,2.12,2.33,2.33,2.33,2.18,2.1,2.33,19,PASS
385,POST,/api/v1/notifications/broadcast,notifications,400,1.99,2.42,2.42,2.42,2.11,1.91,2.42,19,PASS
386,GET,/api/v1/settings/general,settings,400,1.8,1.95,1.95,1.95,1.84,1.79,1.95,19,PASS
387,GET,/api/v1/settings/email,settings,400,1.65,1.72,1.72,1.72,1.67,1.65,1.72,19,PASS
388,GET,/api/v1/settings/storage,settings,400,2.97,4.66,4.66,4.66,3.3,2.28,4.66,19,PASS
389,GET,/api/v1/settings/public-content,settings,400,3.88,4.11,4.11,4.11,3.74,3.24,4.11,19,PASS
390,PUT,/api/v1/settings/public-content,settings,400,4.57,5.17,5.17,5.17,4.74,4.49,5.17,19,PASS
391,GET,/api/v1/settings/system,settings,400,6.56,6.66,6.66,6.66,6.08,5.01,6.66,19,PASS
392,POST,/api/v1/settings/system,settings,400,3.79,3.9,3.9,3.9,3.81,3.73,3.9,19,PASS
393,GET,/api/v1/settings/system/{key},settings,400,2.73,2.94,2.94,2.94,2.77,2.63,2.94,19,PASS
394,PUT,/api/v1/settings/system/{key},settings,400,2.31,2.54,2.54,2.54,2.33,2.16,2.54,19,PASS
395,DELETE,/api/v1/settings/system/{setting_id},settings,400,2.23,2.27,2.27,2.27,2.24,2.22,2.27,19,PASS
396,GET,/api/v1/settings/password-policy,settings,400,2.25,2.48,2.48,2.48,2.32,2.24,2.48,19,PASS
397,PUT,/api/v1/settings/password-policy,settings,400,2.2,2.3,2.3,2.3,2.21,2.13,2.3,19,PASS
398,GET,/api/v1/settings/business-rules,settings,400,2.17,2.32,2.32,2.32,2.21,2.14,2.32,19,PASS
399,POST,/api/v1/settings/business-rules,settings,400,3.1,3.26,3.26,3.26,2.89,2.31,3.26,19,PASS
400,GET,/api/v1/settings/business-rules/{rule_key},settings,400,3.07,3.16,3.16,3.16,2.92,2.54,3.16,19,PASS
401,PUT,/api/v1/settings/business-rules/{rule_key},settings,400,2.29,3.47,3.47,3.47,2.68,2.27,3.47,19,PASS
402,DELETE,/api/v1/settings/business-rules/{rule_id},settings,400,2.06,2.18,2.18,2.18,2.09,2.02,2.18,19,PASS
403,POST,/api/v1/storage/upload-url,storage,400,2.74,3.72,3.72,3.72,2.89,2.2,3.72,19,PASS
404,PUT,/api/v1/storage/{file_id}/confirm,storage,400,2.38,2.63,2.63,2.63,2.34,2.0,2.63,19,PASS
405,GET,/api/v1/storage/{file_id}/download-url,storage,400,2.29,2.51,2.51,2.51,2.35,2.26,2.51,19,PASS
406,GET,/api/v1/storage/{file_id},storage,400,2.9,3.87,3.87,3.87,3.0,2.23,3.87,19,PASS
407,DELETE,/api/v1/storage/{file_id},storage,400,2.77,3.07,3.07,3.07,2.68,2.19,3.07,19,PASS
408,GET,/api/v1/storage,storage,400,2.13,2.19,2.19,2.19,2.14,2.1,2.19,19,PASS
409,POST,/api/v1/storage/bulk/delete,storage,400,2.14,2.16,2.16,2.16,2.12,2.05,2.16,19,PASS
410,GET,/api/v1/storage/entity/{entity_type}/{entity_id},storage,400,2.11,2.14,2.14,2.14,2.11,2.07,2.14,19,PASS
411,GET,/api/v1/finance/accounts,finance,400,2.29,2.53,2.53,2.53,2.31,2.11,2.53,19,PASS
412,POST,/api/v1/finance/accounts,finance,400,2.17,2.17,2.17,2.17,2.14,2.09,2.17,19,PASS
413,GET,/api/v1/finance/accounts/{account_id},finance,400,2.13,2.13,2.13,2.13,2.11,2.06,2.13,19,PASS
414,PUT,/api/v1/finance/accounts/{account_id},finance,400,2.19,3.46,3.46,3.46,2.6,2.14,3.46,19,PASS
415,DELETE,/api/v1/finance/accounts/{account_id},finance,400,3.09,3.31,3.31,3.31,3.02,2.64,3.31,19,PASS
416,GET,/api/v1/finance/transactions,finance,400,2.67,2.8,2.8,2.8,2.64,2.45,2.8,19,PASS
417,POST,/api/v1/finance/transactions,finance,400,2.75,2.84,2.84,2.84,2.74,2.61,2.84,19,PASS
418,GET,/api/v1/finance/transactions/{tx_id},finance,400,2.66,2.66,2.66,2.66,2.59,2.44,2.66,19,PASS
419,DELETE,/api/v1/finance/transactions/{tx_id},finance,400,2.58,3.97,3.97,3.97,2.92,2.21,3.97,19,PASS
420,PATCH,/api/v1/finance/transactions/{tx_id}/status,finance,400,3.65,4.07,4.07,4.07,3.71,3.39,4.07,19,PASS
421,GET,/api/v1/finance/summary,finance,400,3.01,3.18,3.18,3.18,2.92,2.57,3.18,19,PASS
422,GET,/api/v1/finance/pnl,finance,400,2.18,2.28,2.28,2.28,2.2,2.13,2.28,19,PASS
423,GET,/api/v1/finance/account-balances,finance,400,2.37,2.67,2.67,2.67,2.43,2.26,2.67,19,PASS
424,POST,/api/v1/finance/reconcile/donations,finance,400,2.07,2.35,2.35,2.35,2.16,2.06,2.35,19,PASS
425,GET,/api/v1/finance/reconcile/summary,finance,400,2.08,2.25,2.25,2.25,2.08,1.92,2.25,19,PASS
426,GET,/api/v1/finance/budgets,finance,400,2.13,2.65,2.65,2.65,2.24,1.95,2.65,19,PASS
427,POST,/api/v1/finance/budgets,finance,400,2.69,3.01,3.01,3.01,2.67,2.3,3.01,19,PASS
428,GET,/api/v1/finance/budgets/{budget_id},finance,400,2.13,2.55,2.55,2.55,2.26,2.12,2.55,19,PASS
429,DELETE,/api/v1/finance/budgets/{budget_id},finance,400,2.04,2.1,2.1,2.1,2.04,1.99,2.1,19,PASS
430,POST,/api/v1/finance/budgets/{budget_id}/items,finance,400,2.38,2.54,2.54,2.54,2.39,2.24,2.54,19,PASS
431,GET,/api/v1/finance/recurring,finance,400,2.43,2.86,2.86,2.86,2.46,2.08,2.86,19,PASS
432,POST,/api/v1/finance/recurring,finance,400,3.02,3.34,3.34,3.34,3.02,2.71,3.34,19,PASS
433,DELETE,/api/v1/finance/recurring/{rtx_id},finance,400,2.66,3.67,3.67,3.67,2.93,2.45,3.67,19,PASS
434,POST,/api/v1/finance/accounts/bulk/delete,finance,400,2.23,2.61,2.61,2.61,2.34,2.2,2.61,19,PASS
435,POST,/api/v1/finance/transactions/bulk/delete,finance,400,2.08,2.09,2.09,2.09,2.06,2.0,2.09,19,PASS
436,POST,/api/v1/reports/generate,reports,400,2.52,3.0,3.0,3.0,2.57,2.19,3.0,19,PASS
437,GET,/api/v1/reports/types,reports,400,2.09,2.17,2.17,2.17,2.11,2.07,2.17,19,PASS
438,GET,/api/v1/reports/formats,reports,400,2.29,2.62,2.62,2.62,2.38,2.24,2.62,19,PASS
439,GET,/api/v1/reports/download/{filename},reports,400,2.53,2.58,2.58,2.58,2.49,2.36,2.58,19,PASS
440,GET,/health,common,400,2.09,2.1,2.1,2.1,2.09,2.08,2.1,19,PASS
441,GET,/live,common,400,2.61,2.65,2.65,2.65,2.49,2.22,2.65,19,PASS
442,GET,/ready,common,400,2.24,2.37,2.37,2.37,2.26,2.16,2.37,19,PASS
